YearMonth,Quantity
2010-01-01,7745405
2010-02-01,0
2010-03-01,9391924
2010-04-01,13916664
2010-05-01,13244921
2010-06-01,8483367
2010-07-01,6333667
2010-08-01,7007558
2010-09-01,20809525
2010-10-01,7089822
2010-11-01,15244430
2010-12-01,1767616
2011-01-01,11244316
2011-02-01,7390385
2011-03-01,16739410
2011-04-01,11381772
2011-05-01,6644281
2011-06-01,7542209
2011-07-01,1000296
2011-08-01,4020767
2011-09-01,19082218
2011-10-01,16011280
2011-11-01,21923331
2011-12-01,20191039
2012-01-01,11089345
2012-02-01,16158545
2012-03-01,21619054
2012-04-01,11417150
2012-05-01,8072887
2012-06-01,28419777
2012-07-01,17273126
2012-08-01,9618418
2012-09-01,23835953
2012-10-01,7574139
2012-11-01,12641451
2012-12-01,5045191
2013-01-01,9954902
2013-02-01,0
2013-03-01,0
2013-04-01,7084544
2013-05-01,8224411
2013-06-01,5828584
2013-07-01,2857164
2013-08-01,4403875
2013-09-01,4841581
2013-10-01,4274509
2013-11-01,3007606
2013-12-01,6231814
2014-01-01,6515942
2014-02-01,2921003
2014-03-01,4050281
2014-04-01,1307055
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,0
2014-10-01,2001557
2014-11-01,7009700
2014-12-01,16036084
2015-01-01,14461605
2015-02-01,14240801
2015-03-01,15226268
2015-04-01,17021245
2015-05-01,15157579
2015-06-01,13328862
2015-07-01,17529401
2015-08-01,9622183
2015-09-01,19593595
2015-10-01,16958173
2015-11-01,12675966
2015-12-01,12912067
2016-01-01,6446445
2016-02-01,12234229
2016-03-01,29657591
2016-04-01,22151361
2016-05-01,23516321
2016-06-01,13476212
2016-07-01,5479522
2016-08-01,14931450
2016-09-01,18111471
2016-10-01,31110002
2016-11-01,23994265
2016-12-01,29436874
